Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,Activity,Total Power (W),Unix Time
2024-11-28 14:02:21,0,1,-1.3049877784824497,1.1164596011179215,5,4,0.19341777231514526,-1.5819811227380824
2024-11-28 14:02:33,0,1,-1.3049877784824497,1.1164596011179215,5,4,0.19341777231514526,-1.5779206615095305
2024-11-28 14:02:45,0,1,-1.3068052244395085,1.1164636741558949,5,4,0.19270325869415306,-1.5738602002809785
2024-11-28 14:02:57,0,1,-1.3068052244395085,1.1164636741558949,5,4,0.1929482347927792,-1.5697997390524265
2024-11-28 14:03:09,0,1,-1.3068052244395085,1.1164636741558949,5,4,-0.6586090987065079,-1.5657392778238748
2024-11-28 14:03:21,0,1,-1.3068052244395085,1.1164636741558949,5,4,-0.6586090987065079,-1.5616788165953228
2024-11-28 14:03:33,0,1,-1.3068052244395085,1.1164636741558949,5,4,-0.6586090987065079,-1.5576183553667708
2024-11-28 14:03:45,0,1,-1.309401575806735,1.1164674077740373,5,4,-1.2930971941481648,-1.5535578941382189
2024-11-28 14:03:57,0,1,-1.309401575806735,1.1164674077740373,5,4,-1.2930155354486226,-1.549497432909667
2024-11-28 14:04:09,0,1,-1.309401575806735,1.1164674077740373,5,4,-2.833159852836168,-1.545436971681115
2024-11-28 14:04:22,0,1,-1.309401575806735,1.1164674077740373,5,4,-1.4659890757535505,-1.541038138683517
